WHO_REGION,ISO_code,Cname,Vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
EUR,CZE,Czech Republic (the),MCV2,99,96,99,99,98,98,98,98,98,98,97,97,97,98,97,97,,,,,
SEAR,PRK,Democratic People's Republic of Korea (the),MCV2,97,99,99,99,99,99,98,98,,,,,,,,,,,,,
AFR,COD,Democratic Republic of the Congo (the),MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,DNK,Denmark,MCV2,80,84,86,87,86,85,85,,88,91,91,88,88,92,87,,,,,,
EMR,DJI,Djibouti,MCV2,,,,82,,,,,,,,,,,,,,,,,
AMR,DMA,Dominica,MCV2,94,89,91,94,99,99,95,99,95,99,,99,,99,62,,,,,,
AMR,DOM,Dominican Republic (the),MCV2,,,,,,,,,,,,33,,,,,,,,,
AMR,ECU,Ecuador,MCV2,76,59,83,55,92,91,99,,,,,,,,,,,,,,
EMR,EGY,Egypt,MCV2,92,93,96,92,97,97,96,96,97,97,97,96,97,96,99,97,95,,,,
AMR,SLV,El Salvador,MCV2,88,85,85,95,81,78,82,79,86,89,99,80,77,,,,,,,,
AFR,GNQ,Equatorial Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,ERI,Eritrea,MCV2,75,,,,,,,,,,,,,,,,,,,,
EUR,EST,Estonia,MCV2,92,93,92,94,95,95,96,97,97,98,98,97,96,94,84,89,,,,,
AFR,ETH,Ethiopia,MCV2,,,,,,,,,,,,,,,,,,,,,
WPR,FJI,Fiji,MCV2,99,92,98,,,85,57,,,99,80,,,,,,,,,,
EUR,FIN,Finland,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,FRA,France,MCV2,,74,67,72,67,,72,75,78,86,83,86,86,,,,,,,,
AFR,GAB,Gabon,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,GMB,Gambia (the),MCV2,77,73,53,56,,,,,,,,,,,,,,,,,
EUR,GEO,Georgia,MCV2,91,87,89,79,77,84,71,87,92,88,87,75,57,40,8,,,,,,
EUR,DEU,Germany,MCV2,93,93,92,92,92,90,89,88,83,77,66,51,53,27,,,,,,,
AFR,GHA,Ghana,MCV2,63,67,54,52,,,,,,,,,,,,,,,,,
EUR,GRC,Greece,MCV2,,,83,83,77,,77,77,77,,,,,,,,,,,,
AMR,GRD,Grenada,MCV2,89,92,85,75,85,86,78,86,86,87,81,61,,74,,,,,,,
AMR,GTM,Guatemala,MCV2,,,,,,,,,,,,,,,,59,,,,,
AFR,GIN,Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,GNB,Guinea-Bissau,MCV2,,,,,,,,,,,,,,,,,,,,,
AMR,GUY,Guyana,MCV2,95,91,95,90,84,82,84,84,90,74,72,63,,,88,,,,,,
AMR,HTI,Haiti,MCV2,,,,,,,,,,,,,,,,,,,,,
AMR,HND,Honduras,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,HUN,Hungary,MCV2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,
EUR,ISL,Iceland,MCV2,94,93,94,97,90,,93,94,95,93,90,89,92,,,,,,,,
SEAR,IND,India,MCV2,69,,42,50,30,,,,,,,,,,,,,,,,
SEAR,IDN,Indonesia,MCV2,31,28,93,81,85,85,85,78,85,59,91,85,21,,,,,,,,
EMR,IRN,Iran (Islamic Republic of),MCV2,98,98,97,97,99,99,99,96,97,98,92,99,96,96,94,99,96,,,,
EMR,IRQ,Iraq,MCV2,76,76,71,82,91,91,99,,80,68,74,65,,,66,0,,,,,
EUR,IRL,Ireland,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,ISR,Israel,MCV2,97,96,95,89,97,93,92,91,90,96,96,97,,,95,,,,,,
EUR,ITA,Italy,MCV2,83,83,84,,,,,,,,,,,,,,,,,,
AMR,JAM,Jamaica,MCV2,83,72,71,76,60,57,79,80,17,44,11,95,,,96,,,,,,
WPR,JPN,Japan,MCV2,93,94,93,92,92,97,92,78,,,,,,,,,,,,,
EMR,JOR,Jordan,MCV2,96,98,98,96,95,95,90,90,97,88,92,98,91,90,87,83,,,,,
EUR,KAZ,Kazakhstan,MCV2,98,99,99,97,99,99,99,99,99,99,96,99,99,98,95,99,99,,,,
AFR,KEN,Kenya,MCV2,28,,,,,,,,,,,,,,,,,,,,
WPR,KIR,Kiribati,MCV2,76,,84,9,61,21,35,,,,,,,,,,,,,,
EMR,KWT,Kuwait,MCV2,96,86,99,99,99,99,94,86,90,96,77,,,,,,,,,,
EUR,KGZ,Kyrgyzstan,MCV2,96,97,97,98,98,98,99,97,95,97,98,98,98,98,99,96,99,,,,
WPR,LAO,Lao People's Democratic Republic (the),MCV2,,,,9,,,,,,,,,,,,,,,,,
EUR,LVA,Latvia,MCV2,92,89,92,92,92,93,92,94,98,99,99,98,99,96,95,90,,,,,
EMR,LBN,Lebanon,MCV2,68,69,79,88,86,89,88,71,30,49,17,,94,94,88,87,99,,,,
AFR,LSO,Lesotho,MCV2,66,54,,,,,70,80,80,80,,56,47,50,46,,,,,,
AFR,LBR,Liberia,MCV2,,,,,,,,,,,,,,,,,,,,,
EMR,LBY,Libya,MCV2,,97,,97,,,97,97,97,96,95,95,,,81,,,,,,
EUR,LTU,Lithuania,MCV2,92,92,92,93,94,95,94,96,96,94,95,93,93,95,96,97,,,,,
EUR,LUX,Luxembourg,MCV2,86,86,86,86,,,,,,,,,,,,,,,,,
AFR,MDG,Madagascar,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,MWI,Malawi,MCV2,8,,,,,,,,,,,,,,,,,,,,
WPR,MYS,Malaysia,MCV2,99,99,99,99,95,95,95,,,90,90,,,,,,,,,,
SEAR,MDV,Maldives,MCV2,99,97,99,99,96,,96,,56,85,82,,,,,,,,,,
AFR,MLI,Mali,MCV2,,,,,,,,,,,,,,,,,,,,,
EUR,MLT,Malta,MCV2,91,94,88,91,85,97,85,83,77,86,60,,2,,,0,,,,,
WPR,MHL,Marshall Islands (the),MCV2,70,53,42,58,,90,66,,91,60,71,92,90,70,6,6,,,,,
AFR,MRT,Mauritania,MCV2,,,,,,,,,,,,,,,,,,,,,
AFR,MUS,Mauritius,MCV2,96,85,85,90,89,90,85,,80,85,78,80,,,,,,,,,
AMR,MEX,Mexico,MCV2,96,96,76,92,97,91,92,94,85,55,97,,96,89,99,98,,,,,
WPR,FSM,Micronesia (Federated States of),MCV2,74,78,75,70,75,75,82,,86,,84,74,66,,64,50,15,,,,
EUR,MCO,Monaco,MCV2,,,,,,,,,,,,,,,,,,,,,
WPR,MNG,Mongolia,MCV2,98,98,97,98,98,95,97,96,97,96,98,98,98,96,95,75,,,,,
EUR,MNE,Montenegro,MCV2,94,95,97,97,97,,97,96,95,,,,,,,,,,,,
EMR,MAR,Morocco,MCV2,95,95,,10,,,,,92,92,92,91,,,,,,,,,
AFR,MOZ,Mozambique,MCV2,,,,,,,,,,,,,,,,,,,,,
SEAR,MMR,Myanmar,MCV2,78,82,80,,80,75,65,57,,,,,,,,,,,,,
