code,value,name_en,name_es
THA,5814.76976382355,Thailand,Tailandia
TJK,925.91188767081,Tajikistan,Tayikistán
TKM,6672.47754417351,Turkmenistan,Turkmenistán
TLS,1157.99295590816,Timor-Leste,Timor Oriental
TON,4098.54392925825,Tonga,Tonga
TTO,17321.884675056,Trinidad and Tobago,Trinidad y Tobago
TUN,3872.51208364171,Tunisia,Túnez
TUR,9125.68758972936,Turkey,Turquía
TUV,3295.00582293413,Tuvalu,Tuvalu
TZA,878.97510552608,Tanzania,Tanzania
UGA,705.292569535068,Uganda,Uganda
UKR,2114.95471628444,Ukraine,Ucrania
URY,15573.9009191818,Uruguay,Uruguay
USA,56115.7184261955,United States,Estados Unidos
UZB,2132.07036847857,Uzbekistan,Uzbekistán
VCT,6739.17483286945,Saint Vincent and the Grenadines,San Vicente y las Granadinas
VNM,2111.13802366815,Vietnam,Vietnam
VUT,2805.31464353567,Vanuatu,Vanuatu
PSE,2866.80010005429,Palestine,Palestina
WSM,3938.54884570316,Samoa,Samoa
YEM,1406.2916511457,Yemen,Yemen
ZAF,5723.97335690212,South Africa,Sudáfrica
COD,456.052740548027,Democratic Republic of the Congo,República Democrática del Congo
ZMB,1304.87901447726,Zambia,Zambia
ZWE,924.143819253412,Zimbabwe,Zimbabue
