code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
DOM,Dominican Republic (the),MCV2,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,MCV2,76,59,83,55,92,91,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,MCV2,92,93,96,92,97,97,96,96,97,97,97,96,97,96,99,97,95,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,MCV2,88,85,85,95,81,78,82,79,86,89,99,80,77,,,,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,MCV2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,MCV2,92,93,92,94,95,95,96,97,97,98,98,97,96,94,84,89,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,MCV2,99,92,98,,,85,57,,,99,80,,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,MCV2,,74,67,72,67,,72,75,78,86,83,86,86,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,Gambia (the),MCV2,77,73,53,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,MCV2,91,87,89,79,77,84,71,87,92,88,87,75,57,40,8,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,MCV2,93,93,92,92,92,90,89,88,83,77,66,51,53,27,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,MCV2,63,67,54,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,MCV2,,,83,83,77,,77,77,77,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,MCV2,89,92,85,75,85,86,78,86,86,87,81,61,,74,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,MCV2,,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,MCV2,95,91,95,90,84,82,84,84,90,74,72,63,,,88,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,MCV2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,MCV2,94,93,94,97,90,,93,94,95,93,90,89,92,,,,,,,,,,,,,,,,,,,,,,,
IND,India,MCV2,69,,42,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,MCV2,31,28,93,81,85,85,85,78,85,59,91,85,21,,,,,,,,,,,,,,,,,,,,,,,
IRN,Iran (Islamic Republic of),MCV2,98,98,97,97,99,99,99,96,97,98,92,99,96,96,94,99,96,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,MCV2,76,76,71,82,91,91,99,,80,68,74,65,,,66,0,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,MCV2,97,96,95,89,97,93,92,91,90,96,96,97,,,95,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,MCV2,83,83,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,MCV2,83,72,71,76,60,57,79,80,17,44,11,95,,,96,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,MCV2,93,94,93,92,92,97,92,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,MCV2,96,98,98,96,95,95,90,90,97,88,92,98,91,90,87,83,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,MCV2,98,99,99,97,99,99,99,99,99,99,96,99,99,98,95,99,99,,,,,,,,,,,,,,,,,,,
KEN,Kenya,MCV2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,MCV2,76,,84,9,61,21,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,MCV2,96,86,99,99,99,99,94,86,90,96,77,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,MCV2,96,97,97,98,98,98,99,97,95,97,98,98,98,98,99,96,99,,,,,,,,,,,,,,,,,,,
LAO,Lao People's Democratic Republic (the),MCV2,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,MCV2,92,89,92,92,92,93,92,94,98,99,99,98,99,96,95,90,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,MCV2,68,69,79,88,86,89,88,71,30,49,17,,94,94,88,87,99,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,MCV2,66,54,,,,,70,80,80,80,,56,47,50,46,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,MCV2,,97,,97,,,97,97,97,96,95,95,,,81,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,MCV2,92,92,92,93,94,95,94,96,96,94,95,93,93,95,96,97,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,MCV2,86,86,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,MCV2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,MCV2,99,99,99,99,95,95,95,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,MCV2,99,97,99,99,96,,96,,56,85,82,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,MCV2,91,94,88,91,85,97,85,83,77,86,60,,2,,,0,,,,,,,,,,,,,,,,,,,,
MHL,Marshall Islands (the),MCV2,70,53,42,58,,90,66,,91,60,71,92,90,70,6,6,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,MCV2,96,85,85,90,89,90,85,,80,85,78,80,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,MCV2,96,96,76,92,97,91,92,94,85,55,97,,96,89,99,98,,,,,,,,,,,,,,,,,,,,
FSM,Micronesia (Federated States of),MCV2,74,78,75,70,75,75,82,,86,,84,74,66,,64,50,15,,,,,,,,,,,,,,,,,,,
MCO,Monaco,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,Mongolia,MCV2,98,98,97,98,98,95,97,96,97,96,98,98,98,96,95,75,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,MCV2,94,95,97,97,97,,97,96,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,MCV2,95,95,,10,,,,,92,92,92,91,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,MCV2,78,82,80,,80,75,65,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRU,Nauru,MCV2,96,49,,81,99,99,92,99,99,97,50,60,,,95,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands (the),MCV2,92,93,92,93,93,92,93,93,93,93,93,98,98,96,96,96,96,96,96,96,94,,,,,,,,,,,,,,,
NZL,New Zealand,MCV2,87,86,86,85,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,MCV2,,,,99,,,,,,,,,,,,97,,,,,,,,,,,,,,,,,,,,
NER,Niger (the),MCV2,16,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIU,Niue,MCV2,99,,99,98,98,99,99,99,99,99,70,99,86,90,99,99,99,,,,,,,,,,,,,,,,,,,
NOR,Norway,MCV2,91,92,91,91,94,97,96,95,93,91,91,90,89,90,90,90,,,,,,,,,,,,,,,,,,,,
OMN,Oman,MCV2,98,99,99,99,99,99,99,98,95,97,97,98,98,98,99,99,99,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,MCV2,65,60,58,53,53,51,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,MCV2,82,81,98,86,83,,,77,83,98,95,98,,90,,75,94,,,,,,,,,,,,,,,,,,,
PAN,Panama,MCV2,92,90,68,72,81,73,99,60,80,60,89,,,,,88,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,MCV2,,,,,,,,54,47,55,49,50,53,63,48,53,53,51,40,44,,,,,,,,,,,,,,,,
PRY,Paraguay,MCV2,60,64,64,62,65,64,63,70,63,58,28,,,82,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,MCV2,63,44,54,63,70,57,42,17,9,,,,,,,97,,,,,,,,,,,,,,,,,,,,
PHL,Philippines (the),MCV2,67,59,54,42,36,10,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,MCV2,94,95,93,95,95,94,95,97,98,99,90,96,97,97,96,96,96,,,,,,,,,,,,,,,,,,,
PRT,Portugal,MCV2,95,96,96,96,96,95,95,95,95,95,,,,,,49,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,MCV2,91,94,99,99,99,98,99,,45,87,98,,91,91,,,,,,,,,,,,,,,,,,,,,,
KOR,Republic of Korea (the),MCV2,97,96,95,97,98,98,99,99,99,99,99,99,95,95,,39,,,,,,,,,,,,,,,,,,,,
MDA,Republic of Moldova (the),MCV2,90,93,94,95,97,98,98,97,95,99,98,98,96,69,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,MCV2,,,88,,91,93,,95,96,96,96,97,97,97,97,97,96,,,,,,,,,,,,,,,,,,,
RUS,Russian Federation (the),MCV2,97,97,97,97,97,98,97,97,97,97,97,97,96,93,88,86,84,76,51,46,42,,,,,,,,,,,,,,,
RWA,Rwanda,MCV2,87,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,MCV2,90,90,94,90,99,99,99,94,,,,98,,,,99,,,,,,,,,,,,,,,,,,,,
LCA,Saint Lucia,MCV2,95,79,62,80,72,74,63,22,,,,67,,,73,89,,,,,,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,MCV2,99,98,96,92,99,89,94,94,83,,93,73,,99,99,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,MCV2,63,78,87,67,65,45,29,61,51,21,,,,99,,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,MCV2,82,76,77,88,84,,,,,93,94,96,96,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,MCV2,76,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,MCV2,96,98,99,98,97,98,,98,,,,,,,96,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,MCV2,54,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,MCV2,87,91,82,90,90,91,87,97,96,90,98,96,96,75,74,,81,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,MCV2,98,98,97,99,99,98,99,98,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,MCV2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,MCV2,90,88,86,95,94,94,93,93,96,95,95,95,94,95,,,93,,,,,,,,,,,,,,,,,,,
SVK,Slovakia,MCV2,98,98,99,99,99,99,99,99,99,99,98,98,99,99,99,99,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,MCV2,96,94,95,96,96,96,98,99,98,99,,,,,98,,98,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,MCV2,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,South Africa,MCV2,84,81,75,77,75,76,83,75,70,73,67,53,70,64,53,80,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,MCV2,95,93,91,90,91,92,90,94,95,94,92,91,,,,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,MCV2,99,99,99,99,99,99,97,97,97,98,99,95,90,92,52,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan (the),MCV2,69,61,57,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,MCV2,28,18,18,,,,,,,,86,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,MCV2,73,89,89,52,74,96,,70,69,58,47,53,54,56,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,MCV2,95,95,95,95,95,94,95,94,,95,95,95,,,94,94,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,MCV2,89,87,86,86,86,83,83,83,71,71,71,,,,,,,,,,,,,,,,,,,,,,,,,
SYR,Syrian Arab Republic (the),MCV2,64,66,75,70,88,99,99,,98,98,98,98,99,98,96,92,94,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,MCV2,94,98,92,97,96,81,93,87,90,96,93,98,94,93,72,31,46,,,,,,,,,,,,,,,,,,,
THA,Thailand,MCV2,95,94,94,91,91,91,91,91,94,94,95,95,,,86,99,96,,,,,,,,,,,,,,,,,,,
MKD,The former Yugoslav Republic of Macedonia,MCV2,93,96,96,96,98,99,97,95,95,96,95,95,97,95,94,95,,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,MCV2,99,99,99,95,99,98,98,98,99,99,98,99,96,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,MCV2,79,93,86,85,99,99,80,81,87,78,85,78,73,63,80,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,MCV2,98,95,98,96,96,98,97,99,98,99,99,99,99,98,99,98,99,,,,,,,,,,,,,,,,,,,
TUR,Turkey,MCV2,86,88,98,85,86,91,88,92,94,84,98,97,97,83,91,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,MCV2,99,99,99,99,99,99,99,99,98,99,98,90,74,87,94,92,91,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,MCV2,86,91,84,93,90,70,84,82,74,83,,,,,99,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,MCV2,57,,,54,56,41,,95,96,98,96,97,99,98,98,99,99,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates (the),MCV2,99,,,99,,94,,92,,,94,92,92,92,92,92,96,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland (the),MCV2,91,89,88,87,85,84,79,75,74,75,75,76,77,74,75,76,,,,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,MCV2,57,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States of America (the),MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,MCV2,93,93,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,MCV2,99,99,99,99,99,,8,,,,,99,98,97,98,99,95,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),MCV2,52,50,38,33,26,31,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Viet Nam,MCV2,92,94,86,83,93,98,96,97,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,MCV2,49,53,55,48,54,49,44,41,38,30,25,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,MCV2,47,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,MCV2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
