2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,"country-code"
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,7,0,41,0,10,23,,,,,,,,,,,,,,,232
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,233
0,0,1,9,0,0,6,2,6,0,17,22,1,0,0,1,152,131,55,19,264,199,56,104,126,117,81,102,132,385,283,92,131,127,153,67,234,231
,,,,0,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,246
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,2,1,5,3,14,9,10,250
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,28,9,,,,,2,13,3,16,10,42,27,7,36,9,70,266
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,4,1,1,6,5,27,341,2,0,0,,0,1,270
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,,,,,,,,,,,,268
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,0,0,2,0,2,9,7,19,7,276
0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,104,3,112,17,8,34,37,19,47,31,60,113,60,84,63,185,155,157,132,98,145,288
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,4,2,0,300
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,38,16,33,29,17,208,136,42,287,320
0,7,1,0,0,3,0,43,0,0,0,0,7,0,0,0,0,22,4,2,17,54,46,15,59,190,155,85,255,21,8,21,30,2,74,42,32,324
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,2,0,5,9,14,22,3,2,159,53,3,624
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,2,9,12,6,82,63,126,35,35,20,332
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,6,4,58,8,8,18,3,340
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,348
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352
0,0,0,0,0,1,43,762,559,874,676,66,134,225,1600,268,265,2817,4322,2275,1005,3263,4791,4237,9395,5896,10408,13915,23800,28264,20150,22570,23107,24663,26297,38090,18975,356
0,0,0,0,0,0,0,0,0,0,2,349,0,0,0,0,35,39,49,293,77,12,10,10,79,211,465,607,773,1157,24,88,127,57,218,941,182,360
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,4,13,12,101,93,107,44,55,15,13,36,31,70,53,100,105,191,192,80,364
0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,88,37,28,21,34,63,75,120,186,56,10,69,45,80,198,223,152,419,420,997,368
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,372
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,2,1,4,5,8,11,376
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,1,1,380
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,388
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,392
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,14,0,0,2,0,2,1,1,2,2,1,15,400
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,6,5,,,,,,,,,,,,398
0,0,0,14,3,1,0,19,0,0,2,0,0,0,0,0,0,158,109,14,0,12,108,2,0,10,1528,1559,1688,9,133,368,115,197,254,268,455,404
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,9,32,414
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,,,,,,,,,,,,417
3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21,8,6,7,7,2,18,91,154,480,182,523,13,24,46,,1166,418
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,428
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,2,,0,0,2,3,3,40,,1,,422
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,21,29,30,16,19,20,36,426
0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0,0,42,0,0,2,0,6,3,0,,,12,6,4,6,2,4,2,4,2,98,430
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,10,28,25,2,8,29,174,33,30,434
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,440
0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442
0,10,1,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,6,10,1,0,11,19,17,13,39,32,42,27,38,21,23,73,44,55,68,450
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,3,3,4,11,31,73,86,25,11,39,70,70,454
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,4,4,2,5,1,5,458
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,462
0,0,0,0,0,7,4,2,1,0,0,3,19,0,0,0,0,22,14,2,15,26,19,26,63,145,63,178,121,170,302,271,83,57,112,276,234,466
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,584
0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,1,0,7,0,5,0,5,14,16,25,52,7,19,17,69,101,141,78,55,18,9,159,478
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,27,23,77,66,148,137,232,98,186,682,484
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,583
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,492
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,1,,7,2,7,15,74,0,0,496
0,0,0,0,0,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,499
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,9,12,15,22,49,89,58,52,504
0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,7,4,0,0,0,1,3,3,1,0,7,1,7,26,31,28,47,42,65,508
0,2,0,0,0,0,0,0,0,15,1,0,0,0,0,0,44,50,41,55,8,18,27,52,47,58,47,50,60,67,91,109,166,215,304,287,244,104
0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,3,2,2,8,15,4,53,0,0,0,1,,,,,,,,,,516
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,520
0,0,0,0,0,0,6,0,6,5,5,4,0,0,0,0,29,42,31,12,9,9,2,2,3,12,6,34,9,7,10,30,76,66,66,9,52,524
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0,0,0,0,1,1,0,1,0,528
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,21,558
0,0,0,1,1,6,3,15,12,11,13,10,25,40,3,6,33,56,8,56,40,40,62,41,40,57,32,19,33,24,30,146,184,201,175,279,311,562
5,1,36,57,130,95,48,541,861,353,1143,831,782,355,202,56,638,981,312,383,942,439,502,1083,957,842,1873,455,1460,606,453,959,625,392,395,335,816,566
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,578
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,5,118,6,9,33,30,38,81,43,37,512
21,56,328,141,74,198,144,89,117,32,40,28,53,103,90,119,199,558,341,1147,341,508,527,1803,1046,1147,777,811,935,1214,643,2159,595,901,3506,4334,2980,586
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,0,9,26,18,4,24,9,18,8,18,9,22,598
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,2,12,74,53,7,600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,55,44,39,67,129,221,215,245,182,604
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,80,40,11,15,14,11,85,139,344,327,375,557,428,355,440,292,432,608
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,1,3,616
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,620
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,4,2,634
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,5,2,2,14,410
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,,,,,,,,,,,,498
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,10,18,30,2,5,0,0,0,0,15,18,39,125,125,642
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,8,3,10,17,,,,,,,,,,,,643
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,2,0,0,1,0,4,2,0,0,7,9,17,28,7,13,23,21,38,24,646
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,662
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,670
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,882
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,7,4,678
0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,4,6,2,2,1,5,3,3,4,12,28,102,107,99,169,257,682
0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,10,5,1,1,2,2,9,8,3,10,18,80,272,87,98,185,156,187,138,686
0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,1,6,9,6,3,2,0,0,3,1,2,12,6,0,4,688
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,690
0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,34,14,3,0,,0,7,5,5,57,38,133,4,12,14,45,42,51,33,48,11,694
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,2,1,0,1,702
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,703
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,705
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,090
0,0,5,195,1,9,1,4,0,8,35,185,0,0,3,7,96,19,12,1,,,,,,,,155,54,53,1,6,19,70,,,,706
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,0,0,0,0,0,0,0,5,14,174,25,41,72,71,92,481,127,112,710
0,0,2,0,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,728
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,11,0,6,2,27,21,13,17,724
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12,1,9,4,16,96,9,11,16,57,84,254,264,144
0,0,0,0,0,0,0,45,26,1,0,27,127,0,0,1,79,60,50,33,51,22,25,252,10,27,4,51,93,99,162,171,78,109,88,63,4151,729
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,740
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,13,26,29,17,,192,748
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,752
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,756
0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,2,0,22,24,13,13,34,39,40,25,29,43,262,248,312,760
0,0,0,0,0,0,457,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,26,14,5,115,,,,,,,,,,,,762
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,24,31,19,1,2,1,7,9,5,4,19,11,25,94,65,81,144,276,257,300,764
0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,807
0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,626
0,0,0,0,0,0,0,6,3,0,0,0,0,1,0,0,0,1,5,2,2,5,6,2,12,21,20,8,25,87,46,69,62,62,158,144,178,768
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,780
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,23,11,19,22,4,6,40,15,788
0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,26,6,19,32,32,24,0,0,24,14,18,7,32,88,83,165,219,148,182,792
0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,4,16,,,,,,,,,,,,795
,,,,,,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,798
0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,46,35,121,100,355,,15,22,28,8,15,,,,16,126,17,124,37,800
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,5,12,3,,,,,,,,,,,,804
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,9,,6,7,21,13,58,37,48,784
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,0,1,0,0,2,6,5,3,2,3,826
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,10,9,,9,1,9,4,3,3,4,578,230,340,108,101,26,69,91,834
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,8,15,8,6,8,840
