label,value
GR,66
PL,53
BG,53
MT,52
PT,52
RO,51
HU,50
CY,49
LV,49
LT,46
ES,45
HR,43
AT,43
IT,38
SK,37
DE,37
SI,33
CZ,30
EE,30
IE,26
FR,26
LU,26
BE,23
GB,23
SE,18
DK,18
NL,17
FI,14
