code,value,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
NZL,2,3,3,0,0,0,,0,,0,0
OMN,0,0,0,0,0,0,0,0,0,0,0
PAK,2,1,0,0,0,0,3,2,0,0,0
PAN,3,,,3,3,,,,0,0,2
PER,5,0,3,,,0,0,3,3,3,3
PHL,5,,3,2,2,1,3,1,3,0,0
PLW,0,,,,,,,,,0,
PNG,2,3,3,0,0,0,0,0,0,0,0
POL,1,,,,0,,0,,,0,3
PRK,1,0,0,0,0,0,0,0,0,0,2
PRT,2,3,3,0,0,0,0,0,0,0,0
PRY,0,0,0,0,0,0,0,0,0,0,0
QAT,0,0,,0,0,,0,0,,0,0
ROU,1,0,0,0,0,0,3,0,0,0,0
RUS,0,0,0,0,0,1,0,0,0,0,0
RWA,0,0,0,0,0,0,0,,0,0,0
SAU,0,0,0,0,0,0,0,0,0,0,0
SDN,0,0,0,0,0,0,1,1,1,1,1
SEN,4,2,0,0,0,0,0,2,2,2,0
SGP,0,0,0,,0,0,0,0,0,0,0
SLB,3,0,0,0,2,2,0,0,3,0,
SLE,1,0,0,0,0,0,0,0,0,0,2
SLV,2,0,3,0,0,0,0,3,,0,
SMR,0,,,,,,,,0,0,0
SOM,7,3,3,2,2,3,0,0,,2,3
SRB,1,0,,,,,0,0,0,0,3
SSD,1,,0,,0,3,,,,,
STP,2,3,0,3,0,0,0,0,0,0,0
SUR,0,,,,,,,,,,
SVK,0,,,0,0,0,0,0,0,0,0
SVN,1,3,0,0,0,0,0,0,0,0,0
SWE,0,1,,,,,,,,,
SWZ,3,0,3,0,3,0,0,3,0,0,0
SYC,1,0,0,0,2,0,0,0,0,0,0
SYR,2,3,0,3,0,0,0,0,0,0,0
TCD,3,1,3,0,1,0,1,2,3,1,1
TGO,1,0,1,0,1,0,0,3,1,1,1
THA,0,0,0,0,0,0,0,0,0,0,0
TJK,2,0,0,0,0,0,0,0,0,3,3
TKM,0,0,0,0,0,0,0,0,0,0,0
TLS,2,0,0,3,3,0,0,0,0,0,0
TON,0,0,0,0,0,0,0,0,0,0,0
TTO,0,,,,0,,,,,,
TUN,0,0,0,0,0,0,0,0,0,0,0
TUR,0,0,0,0,0,0,0,0,0,0,0
TUV,1,,1,,0,1,1,3,0,0,0
TZA,3,0,0,3,3,0,0,1,0,2,0
