code,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
MNG,0,0,0,0,0,0,0,0,0,0,0,0,0
MOZ,3,,0,1,0,0,0,2,0,0,0,0,0
MRT,0,0,1,0,0,0,0,0,0,0,0,0,0
MUS,0,1,0,0,0,0,0,0,0,0,0,0,0
MWI,0,0,0,0,0,0,0,0,0,0,0,0,0
MYS,0,0,0,0,0,0,0,0,0,0,0,0,0
NAM,0,0,0,0,0,0,0,0,2,2,0,0,
NER,2,2,3,,3,0,2,3,3,3,0,3,0
NGA,1,1,3,1,,0,0,0,2,3,0,0,
NIC,0,0,0,0,0,,0,0,0,0,0,,0
NIU,0,,0,0,0,,2,0,0,0,0,0,0
NLD,,,,,,,,,,,,,
NOR,0,0,0,0,0,0,0,0,0,0,0,0,0
NPL,3,3,0,0,0,0,0,0,0,0,3,2,0
NRU,,2,,0,0,0,0,0,0,,2,2,
NZL,3,3,0,0,0,,0,,0,0,0,0,0
OMN,0,0,0,0,0,0,0,0,0,0,0,,0
PAK,1,0,0,0,0,3,2,0,0,0,0,,0
PAN,,,3,3,,,,0,0,2,0,,
PER,0,3,,,0,0,3,3,3,3,3,3,0
PHL,,3,2,2,1,3,1,3,0,0,0,0,0
PLW,,,,,,,,,0,,,,
PNG,3,3,0,0,0,0,0,0,0,0,0,0,0
POL,,,,0,,0,,,0,3,0,0,0
PRK,0,0,0,0,0,0,0,0,0,2,0,0,0
PRT,3,3,0,0,0,0,0,0,0,0,0,0,2
PRY,0,0,0,0,0,0,0,0,0,0,0,0,0
QAT,0,,0,0,,0,0,,0,0,0,,0
ROU,0,0,0,0,0,3,0,0,0,0,0,0,0
RUS,0,0,0,0,1,0,0,0,0,0,0,0,
RWA,0,0,0,0,0,0,,0,0,0,0,0,0
SAU,0,0,0,0,0,0,0,0,0,0,0,,0
SDN,0,0,0,0,0,1,1,1,1,1,1,1,0
SEN,2,0,0,0,0,0,2,2,2,0,0,3,0
SGP,0,0,,0,0,0,0,0,0,0,0,0,
SLB,0,0,0,2,2,0,0,3,0,,0,0,2
SLE,0,0,0,0,0,0,0,0,0,2,0,0,2
SLV,0,3,0,0,0,0,3,,0,,0,0,
SMR,,,,,,,,0,0,0,,,
SOM,3,3,2,2,3,0,0,,2,3,0,,0
