code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
COM,Comoros (the),Pol3,81,79,82,85,85,82,84,81,75,69,67,73,80,98,70,70,,75,48,60,78,58,70,46,55,94,78,44,73,24,,32,,,,
COG,Congo (the),Pol3,80,90,85,85,90,90,91,89,80,79,65,67,50,41,32,,29,,21,75,47,,60,65,77,94,66,50,57,68,,,,,42,
COK,Cook Islands,Pol3,99,99,98,98,93,99,82,99,99,99,99,99,95,97,90,92,92,93,93,75,93,86,99,87,87,83,89,94,82,82,91,96,47,57,,39
CRI,Costa Rica,Pol3,92,91,95,90,82,96,80,89,89,89,91,90,88,94,92,80,84,85,97,85,84,88,88,91,89,95,86,86,92,87,88,94,86,80,85,86
CIV,Côte d'Ivoire,Pol3,88,85,98,94,58,81,77,58,75,76,56,50,48,72,59,61,58,64,70,55,41,41,50,49,51,56,42,,71,,,,,,,
HRV,Croatia,Pol3,94,95,96,96,96,97,96,96,96,96,96,96,95,95,94,94,93,93,92,91,90,87,86,85,85,,,,,,,,,,,
CUB,Cuba,Pol3,,99,99,98,99,99,99,99,99,99,99,98,99,99,99,99,96,97,97,89,95,96,97,99,97,94,96,98,86,99,88,95,94,83,97,99
CYP,Cyprus,Pol3,97,99,99,99,99,99,99,97,97,97,98,98,98,98,,97,,,98,98,96,,,,,,93,90,93,91,,31,36,27,44,35
CZE,Czech Republic (the),Pol3,97,99,99,99,99,99,99,99,99,98,96,96,97,97,97,97,98,97,97,98,98,98,99,99,99,,,,,,,,,,,
PRK,Democratic People's Republic of Korea (the),Pol3,99,99,99,99,99,99,98,98,99,98,97,99,99,99,98,98,99,96,96,99,96,99,99,99,98,99,,58,70,62,65,52,52,51,51,50
COD,Democratic Republic of the Congo (the),Pol3,91,92,87,89,90,88,90,77,87,78,73,63,55,45,33,42,21,18,18,18,24,29,29,31,16,36,38,41,38,39,68,66,66,61,54,46
DNK,Denmark,Pol3,93,94,94,94,91,90,89,,87,93,93,95,96,98,97,97,99,99,99,99,97,99,96,98,98,99,98,99,99,94,99,96,98,99,98,99
DJI,Djibouti,Pol3,84,78,82,81,87,88,89,89,88,72,71,64,68,62,49,46,24,23,62,49,63,57,41,84,81,85,77,65,60,26,30,21,,6,,
DMA,Dominica,Pol3,98,97,96,97,99,99,99,95,93,88,98,99,99,98,99,99,99,99,97,99,99,99,99,99,94,94,94,97,95,92,89,82,92,73,97,53
DOM,Dominican Republic (the),Pol3,87,90,82,85,84,85,85,86,86,88,86,70,73,86,87,67,84,80,81,80,73,98,82,63,64,90,70,65,79,79,39,99,22,43,42,46
ECU,Ecuador,Pol3,84,84,87,99,99,99,99,99,99,97,93,93,99,90,92,84,70,83,77,88,69,78,79,79,67,77,64,57,51,43,39,47,32,35,27,19
EGY,Egypt,Pol3,93,94,97,93,97,97,97,97,98,98,98,97,98,97,99,98,97,95,94,91,90,91,89,89,86,87,90,89,82,89,84,78,,81,84,84
SLV,El Salvador,Pol3,92,93,92,93,90,89,89,98,99,96,89,90,93,81,94,98,92,99,97,94,94,89,79,61,61,80,64,63,57,51,54,30,20,42,38,42
GNQ,Equatorial Guinea,Pol3,27,52,40,40,53,39,68,73,42,35,34,46,42,72,33,32,40,,81,64,64,,60,64,,,15,46,,4,4,,,,,
ERI,Eritrea,Pol3,95,94,94,94,94,85,85,85,80,80,80,80,75,70,65,52,56,60,60,46,35,36,28,,,,,,,,,,,,,
EST,Estonia,Pol3,93,93,94,94,93,94,95,95,95,95,96,95,95,94,94,93,91,88,86,86,80,76,67,71,72,68,,,,88,85,83,83,82,84,84
ETH,Ethiopia,Pol3,94,84,80,,87,86,75,75,71,69,66,65,52,51,50,42,40,37,41,42,57,36,28,12,21,49,26,16,16,7,6,4,4,3,3,3
FJI,Fiji,Pol3,94,98,98,91,84,86,76,99,84,83,80,76,99,99,99,,,88,88,99,99,84,96,,99,87,78,99,92,73,68,72,64,60,58,55
FIN,Finland,Pol3,97,,98,99,99,,99,97,97,97,97,96,96,95,95,95,95,95,95,99,99,98,99,99,97,90,90,99,,95,,,78,78,90,
FRA,France,Pol3,,99,99,99,99,99,98,98,99,99,98,99,96,97,98,98,98,97,97,97,97,97,95,95,95,95,84,81,,97,,97,92,,80,
GAB,Gabon,Pol3,79,68,77,80,75,68,74,81,78,48,37,16,40,54,37,52,31,37,54,61,70,59,65,66,72,78,71,65,59,48,48,31,14,48,,
GMB,Gambia (the),Pol3,96,97,98,98,95,96,92,88,85,95,95,95,95,95,87,92,88,95,99,97,98,97,96,94,94,94,92,88,80,67,62,78,70,76,66,53
GEO,Georgia,Pol3,91,91,94,93,88,88,93,90,88,89,82,66,74,90,81,98,98,95,98,94,82,82,82,68,45,87,,,,,,,,,,
DEU,Germany,Pol3,95,95,95,95,94,95,96,96,97,96,94,94,94,95,95,95,95,95,80,80,80,80,80,80,90,85,,94,95,95,80,,,,80,
GHA,Ghana,Pol3,84,98,91,91,91,94,94,92,94,84,85,81,80,99,79,83,72,69,61,52,50,48,47,39,40,50,36,37,18,13,,19,23,25,25,7
GRC,Greece,Pol3,99,99,99,99,99,,99,99,99,,,,,,,,87,,95,95,95,95,95,95,77,96,96,98,97,97,96,98,,,95,90
GRD,Grenada,Pol3,99,81,99,98,95,94,99,99,99,91,99,84,98,98,96,97,87,95,95,80,77,95,91,90,82,69,86,64,81,92,77,75,72,61,41,32
GTM,Guatemala,Pol3,90,65,92,94,88,94,92,96,85,92,92,95,94,95,93,93,88,88,83,73,80,73,77,70,69,74,64,58,18,39,24,48,44,45,42,43
GIN,Guinea,Pol3,60,60,90,97,85,90,90,90,80,88,88,68,71,58,57,57,57,56,53,48,73,73,,52,41,20,17,,,1,,,,,,
GNB,Guinea-Bissau,Pol3,90,83,96,90,90,83,89,59,91,74,80,80,75,50,52,,12,,60,54,45,69,64,66,63,60,58,70,54,30,18,4,,,,
GUY,Guyana,Pol3,92,97,98,97,93,95,97,93,94,92,93,91,91,93,90,79,83,90,88,83,87,90,92,87,81,79,79,69,77,67,77,67,62,73,37,42
HTI,Haiti,Pol3,76,75,92,80,79,62,65,58,66,75,65,61,48,41,53,58,58,37,32,,32,27,30,30,,40,50,48,28,24,19,13,6,6,5,8
HND,Honduras,Pol3,99,85,87,88,99,99,98,93,94,94,98,94,92,95,99,88,95,97,93,94,94,95,95,94,93,87,86,70,61,63,58,73,51,47,36,31
HUN,Hungary,Pol3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,99,99,99,98,98,99,98,98
ISL,Iceland,Pol3,92,90,91,89,95,,96,98,97,97,95,99,97,,92,98,,,99,99,99,99,99,94,99,99,99,99,,99,,99,97,98,99,
IND,India,Pol3,86,,82,79,79,76,73,69,67,66,65,58,57,58,58,57,57,90,94,93,92,95,94,91,91,99,99,88,83,73,94,82,99,87,99,42
IDN,Indonesia,Pol3,85,95,87,78,92,93,89,91,84,84,91,79,90,74,77,74,90,93,87,89,89,93,91,95,92,89,77,73,65,44,24,12,6,1,,
IRN,Iran (Islamic Republic of),Pol3,98,99,98,99,99,99,99,99,98,99,95,98,99,99,95,99,99,99,99,99,98,96,99,97,88,90,82,88,58,58,63,34,34,74,47,38
IRQ,Iraq,Pol3,72,76,79,79,89,83,86,80,85,76,83,80,58,82,82,86,89,86,92,95,91,87,88,81,63,83,97,86,76,91,,,16,2,16,16
IRL,Ireland,Pol3,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86,86,84,76,,,,,,,81,81,72,,,90,74,76,79,76,72
ISR,Israel,Pol3,,,94,94,94,95,96,94,95,94,95,95,93,93,92,92,94,96,95,95,96,97,97,96,94,93,93,94,93,93,86,87,88,93,93,85
ITA,Italy,Pol3,93,95,96,96,96,96,96,96,97,97,97,97,97,96,96,97,97,96,98,97,98,98,97,97,98,98,75,85,81,95,90,90,90,,,
JAM,Jamaica,Pol3,91,93,86,96,93,94,90,87,85,86,84,75,81,86,91,86,84,85,90,92,91,93,93,75,86,87,84,83,82,74,58,57,47,72,37,34
JPN,Japan,Pol3,99,99,99,99,96,98,99,95,95,95,95,97,97,99,81,99,,,97,99,97,,91,94,94,90,93,,95,,,95,,95,,
JOR,Jordan,Pol3,99,98,98,98,98,98,98,98,98,98,95,95,97,95,97,94,85,99,99,99,99,96,94,96,92,92,94,98,89,88,54,41,77,84,87,32
KAZ,Kazakhstan,Pol3,98,95,98,99,99,98,99,99,94,99,99,99,99,95,95,97,99,99,99,98,94,69,69,87,84,85,,,,,,,,,,
KEN,Kenya,Pol3,71,81,84,82,88,83,71,85,76,77,70,73,75,83,78,62,81,64,36,77,84,52,43,40,44,44,34,24,,72,70,,,,,
KIR,Kiribati,Pol3,76,79,91,92,95,95,84,74,93,86,50,61,94,,88,90,77,83,93,82,58,81,99,90,76,97,86,62,5,,15,23,25,40,20,10
KWT,Kuwait,Pol3,99,94,99,98,99,98,99,99,99,99,99,,99,,,94,94,94,99,99,99,99,97,,,,94,94,93,91,91,89,90,84,79,70
KGZ,Kyrgyzstan,Pol3,97,95,97,94,94,88,96,95,94,93,98,98,98,99,99,99,99,97,99,94,96,84,69,91,87,99,,,,,,,,,,
LAO,Lao People's Democratic Republic (the),Pol3,89,88,86,78,79,76,67,60,46,80,50,46,52,55,55,57,64,67,69,68,64,58,26,27,22,26,22,17,10,6,4,24,,,,
LVA,Latvia,Pol3,95,92,94,91,92,92,94,94,94,96,99,99,98,98,97,96,95,94,92,93,98,98,83,95,91,92,91,92,93,93,93,91,92,91,95,
LBN,Lebanon,Pol3,90,97,99,96,96,94,93,94,52,46,48,,92,92,93,90,94,96,92,94,94,,87,89,86,82,78,33,91,30,60,4,,9,,
LSO,Lesotho,Pol3,65,67,66,66,69,73,72,91,91,90,90,77,62,60,64,67,57,66,54,48,49,57,70,66,67,73,80,94,71,68,68,60,80,68,58,
LBR,Liberia,Pol3,65,62,88,93,77,60,92,92,84,87,77,33,39,50,61,52,25,19,25,45,45,,,,,,,,28,,,,,,26,
LBY,Libya,Pol3,,97,,98,,,98,98,98,98,98,97,,94,94,,94,95,96,96,95,95,96,90,87,84,87,84,82,82,81,81,79,72,67,60
LTU,Lithuania,Pol3,93,93,93,93,92,95,98,96,95,94,93,90,91,97,97,92,88,88,95,93,89,88,86,88,79,77,87,84,,,,,,,,
LUX,Luxembourg,Pol3,99,99,99,99,96,96,96,96,96,99,99,99,99,,,,,,98,98,,,,90,,90,90,90,90,,,,90,,,
MDG,Madagascar,Pol3,86,88,88,86,88,85,89,90,95,92,87,79,86,61,37,81,71,59,60,73,73,64,66,64,51,69,47,41,34,28,21,13,11,8,,
MWI,Malawi,Pol3,88,87,89,95,97,86,93,92,88,99,94,94,85,79,86,73,77,93,94,82,89,98,91,98,96,93,90,72,86,74,56,53,58,37,57,28
MYS,Malaysia,Pol3,99,97,97,99,95,95,95,96,90,96,94,95,93,95,97,95,93,93,94,94,94,94,91,91,91,90,84,67,68,62,56,55,55,66,69,67
MDV,Maldives,Pol3,99,99,99,99,96,97,98,98,98,98,98,96,98,98,97,98,98,97,97,96,97,97,98,98,97,94,91,86,42,42,28,10,,1,1,
MLI,Mali,Pol3,91,85,79,90,87,89,86,99,94,97,98,86,79,74,61,54,47,56,52,53,49,39,46,38,34,42,26,18,8,3,8,,,,,
MLT,Malta,Pol3,97,99,99,99,96,76,73,72,76,83,94,89,95,95,70,94,,92,,92,92,78,83,81,86,86,88,79,87,73,84,90,,,75,
MHL,Marshall Islands (the),Pol3,85,77,36,80,,95,99,,91,95,88,68,80,80,73,36,86,86,71,77,64,62,52,,71,89,,37,33,,,,,,,
MRT,Mauritania,Pol3,67,84,80,80,73,52,63,73,75,68,71,68,75,80,58,31,26,,28,50,50,50,44,39,28,33,28,24,10,11,,,,,18,
MUS,Mauritius,Pol3,98,98,98,98,98,99,99,99,96,98,97,98,99,,93,88,85,90,90,90,93,89,89,88,91,86,86,87,96,97,91,87,91,96,83,90
MEX,Mexico,Pol3,87,87,83,99,97,95,95,96,98,98,98,98,98,98,97,97,96,96,95,95,92,92,83,92,87,66,96,95,97,96,67,99,88,99,99,91
FSM,Micronesia (Federated States of),Pol3,70,78,81,81,83,85,88,88,79,81,94,82,88,,79,85,76,79,75,,81,81,79,,78,85,,71,56,,,,,,,
MCO,Monaco,Pol3,,,,,,,,,,,,,,99,,,99,,,,99,99,,98,98,99,99,99,,,,,,,,
MNG,Mongolia,Pol3,99,99,98,99,99,96,96,95,99,98,99,99,98,98,95,94,94,94,92,90,86,77,79,54,78,87,77,70,71,90,99,77,50,99,99,92
MNE,Montenegro,Pol3,89,91,94,94,95,93,91,95,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,Pol3,99,99,99,99,98,99,99,99,95,97,98,97,91,95,93,95,91,93,95,95,90,87,86,87,81,81,80,82,85,54,51,45,41,32,45,
MOZ,Mozambique,Pol3,80,88,78,73,73,73,76,80,75,95,75,65,85,37,71,87,81,78,61,60,57,55,49,50,46,46,47,38,39,32,25,32,38,43,32,
MMR,Myanmar,Pol3,89,88,76,87,90,90,90,85,84,82,73,82,76,77,79,86,87,90,90,87,84,77,90,87,84,69,45,29,10,4,3,2,3,1,,
NAM,Namibia,Pol3,92,88,89,84,85,83,83,83,81,74,86,81,83,78,64,80,72,74,69,71,73,80,79,70,82,59,39,,,,,,,,,
NRU,Nauru,Pol3,91,75,,79,99,99,99,99,99,45,80,75,,59,99,27,64,72,36,,56,,,,,74,70,67,55,,73,52,,,,
