code,name,vaccine,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
SWZ,Swaziland,Pol3,84,98,98,92,85,89,68,80,66,67,71,82,95,76,76,97,97,99,86,81,81,96,86,93,79,89,89,89,74,72,59,49,43,39,22,
SWE,Sweden,Pol3,98,98,98,98,98,98,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,98,98,97
CHE,Switzerland,Pol3,97,96,96,96,96,96,96,96,94,94,94,95,95,95,95,95,95,92,95,95,95,95,95,95,95,98,98,95,,98,,,,,,
SYR,Syrian Arab Republic (the),Pol3,66,68,67,63,76,99,99,99,99,99,99,99,99,99,95,97,97,97,95,96,92,89,90,89,89,91,94,59,42,86,29,25,21,15,14,13
TJK,Tajikistan,Pol3,96,94,97,96,97,95,93,87,85,95,96,96,96,97,97,98,96,94,92,89,81,92,77,73,88,86,90,90,91,97,,,,,,
THA,Thailand,Pol3,99,99,99,99,99,99,99,99,98,98,98,98,98,97,97,97,97,,95,96,94,72,79,84,90,89,83,74,71,46,47,44,50,39,31,19
MKD,The former Yugoslav Republic of Macedonia,Pol3,92,96,98,97,97,95,96,96,96,92,98,95,96,97,91,96,95,94,97,94,95,91,99,94,94,,,,,,,,,,,
TLS,Timor-Leste,Pol3,90,76,82,83,66,72,78,79,70,62,55,57,70,55,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,Pol3,88,85,84,84,92,92,89,88,78,87,80,71,72,58,44,50,48,35,40,27,46,71,75,77,83,78,65,64,55,,,,,,,
TON,Tonga,Pol3,99,99,99,95,99,99,99,99,99,99,99,99,98,90,95,95,94,97,96,99,93,90,96,99,92,93,,92,87,73,81,46,57,80,37,20
TTO,Trinidad and Tobago,Pol3,88,94,94,91,91,91,90,91,90,89,95,94,91,96,91,90,90,91,91,90,90,85,78,87,81,87,77,83,80,71,74,66,61,59,55,38
TUN,Tunisia,Pol3,98,98,98,97,98,98,99,99,98,99,98,97,95,96,98,97,99,96,96,91,92,91,99,99,93,91,92,91,75,72,70,61,62,52,37,37
TUR,Turkey,Pol3,97,96,98,97,97,97,96,96,96,90,90,85,69,78,88,85,79,81,79,84,67,81,76,78,81,74,74,68,71,45,,,59,61,69,63
TKM,Turkmenistan,Pol3,99,98,98,98,97,96,97,96,98,98,99,98,66,99,94,98,98,99,99,98,96,94,92,91,91,92,,,,,,,,,,
TUV,Tuvalu,Pol3,96,89,90,97,96,89,85,99,97,97,99,98,93,98,96,82,84,78,80,92,85,95,86,86,71,84,66,91,59,73,97,74,83,79,44,23
UGA,Uganda,Pol3,92,99,99,82,82,79,83,79,84,81,83,86,82,73,62,57,62,57,62,71,78,78,74,70,77,77,60,40,40,21,13,,,,8,
UKR,Ukraine,Pol3,90,45,72,72,54,57,,91,98,99,95,99,99,99,99,99,98,98,99,99,97,96,91,89,86,81,,,,,,,,,,
ARE,United Arab Emirates (the),Pol3,99,99,99,99,,94,,94,94,94,94,94,94,94,94,94,94,94,92,90,90,90,90,86,85,,89,73,75,65,58,59,50,46,45,11
GBR,United Kingdom of Great Britain and Northern Ireland (the),Pol3,96,95,95,95,95,94,93,92,92,92,91,92,91,91,91,91,92,91,92,96,94,94,94,94,92,90,89,87,87,85,,78,83,73,71,
TZA,United Republic of Tanzania,Pol3,96,97,91,90,91,94,88,89,88,91,91,95,97,90,65,64,74,79,79,73,79,83,78,82,81,78,66,82,80,73,64,47,49,48,46,57
USA,United States of America (the),Pol3,93,93,93,93,94,94,93,94,93,93,92,92,91,90,89,90,90,91,91,91,88,84,79,72,53,,,97,24,97,96,97,97,97,96,95
URY,Uruguay,Pol3,95,95,95,95,95,95,95,94,94,95,96,95,91,93,94,92,93,91,91,91,91,91,92,93,96,97,88,82,85,64,58,80,77,73,60,59
UZB,Uzbekistan,Pol3,99,99,99,99,99,99,99,98,98,94,99,99,99,99,99,99,99,99,98,97,99,79,46,85,89,90,61,50,95,93,93,96,92,92,90,
VUT,Vanuatu,Pol3,80,80,75,95,89,90,82,,76,85,56,,53,53,87,87,87,87,67,68,74,74,87,78,82,78,70,58,53,31,27,27,18,17,,
VEN,Venezuela (Bolivarian Republic of),Pol3,87,79,82,73,78,74,75,76,67,73,80,83,86,81,87,86,86,62,76,73,85,73,72,73,74,72,67,74,61,64,59,61,77,76,75,95
VNM,Viet Nam,Pol3,97,96,93,97,96,94,97,93,92,94,94,96,96,92,96,96,93,94,95,94,94,94,91,89,88,88,70,54,45,45,62,5,2,,,
YEM,Yemen,Pol3,84,88,88,82,81,88,86,87,87,85,86,78,66,68,76,76,72,68,51,57,53,47,54,51,62,89,56,36,18,13,12,7,5,4,3,1
ZMB,Zambia,Pol3,90,78,74,70,83,81,96,97,88,97,84,97,89,85,,79,92,,70,83,82,90,66,63,90,70,59,61,66,40,,50,,,,
ZWE,Zimbabwe,Pol3,96,92,95,95,93,89,69,75,85,90,90,85,80,75,75,70,81,70,79,80,84,80,73,81,88,78,83,79,85,82,76,61,,,38,
AFG,Afghanistan,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,Albania,RCV1,,98,99,98,99,99,97,98,97,95,97,96,,,,,,,,,,,,,,,,,,,,,,,,
DZA,Algeria,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AND,Andorra,RCV1,96,96,95,98,99,99,98,98,94,91,,98,,,,,,,,,,,,,,,,,,,,,,,,
AGO,Angola,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,Antigua and Barbuda,RCV1,,99,99,99,99,98,99,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
ARG,Argentina,RCV1,89,95,94,94,95,99,99,97,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
ARM,Armenia,RCV1,97,97,97,,97,97,96,94,,92,94,92,,,,,,,,,,,,,,,,,,,,,,,,
AUS,Australia,RCV1,91,93,94,94,94,94,94,94,94,,94,94,,,,,,,,,,,,,,,,,,,,,,,,
AUT,Austria,RCV1,,96,,,,,76,83,77,80,91,74,,,,,,,,,,,,,,,,,,,,,,,,
AZE,Azerbaijan,RCV1,98,98,98,,,98,,,97,96,,98,,,,,,,,,,,,,,,,,,,,,,,,
BHS,Bahamas (the),RCV1,94,92,92,91,90,94,98,90,,,85,,,,,,,,,,,,,,,,,,,,,,,,,
BHR,Bahrain,RCV1,99,99,99,99,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,RCV1,90,90,89,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRB,Barbados,RCV1,96,95,87,90,93,85,94,94,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
BLR,Belarus,RCV1,99,99,99,98,99,99,99,99,99,97,99,99,,,,,,,,,,,,,,,,,,,,,,,,
BEL,Belgium,RCV1,96,96,96,96,95,95,95,95,93,92,88,84,,,,,,,,,,,,,,,,,,,,,,,,
BLZ,Belize,RCV1,96,95,99,96,98,98,97,96,,,95,,,,,,,,,,,,,,,,,,,,,,,,,
BEN,Benin,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTN,Bhutan,RCV1,93,97,94,95,95,,98,99,95,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOL,Bolivia (Plurinational State of),RCV1,95,86,83,84,84,79,86,87,,,89,90,,,,,,,,,,,,,,,,,,,,,,,,
BIH,Bosnia and Herzegovina,RCV1,84,89,,,,,,,99,81,90,88,,,,,,,,,,,,,,,,,,,,,,,,
BWA,Botswana,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,Brazil,RCV1,96,99,99,99,99,98,99,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
BRN,Brunei Darussalam,RCV1,96,97,,99,91,94,99,,,,97,99,,,,,,,,,,,,,,,,,,,,,,,,
BGR,Bulgaria,RCV1,92,93,95,94,94,97,96,96,96,96,96,95,,,,,,,,,,,,,,,,,,,,,,,,
BFA,Burkina Faso,RCV1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDI,Burundi,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPV,Cabo Verde,RCV1,95,79,89,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHM,Cambodia,RCV1,95,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMR,Cameroon,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN,Canada,RCV1,89,,89,98,88,93,,93,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
CAF,Central African Republic (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCD,Chad,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,Chile,RCV1,96,97,90,90,91,93,93,96,,,90,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,China,RCV1,99,99,96,99,99,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COL,Colombia,RCV1,94,91,92,94,88,89,95,92,,,89,,,,,,,,,,,,,,,,,,,,,,,,,
COM,Comoros (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COG,Congo (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COK,Cook Islands,RCV1,99,98,97,97,89,99,78,95,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRI,Costa Rica,RCV1,93,95,91,90,83,83,81,89,,,89,,,,,,,,,,,,,,,,,,,,,,,,,
CIV,Côte d'Ivoire,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRV,Croatia,RCV1,93,94,94,95,96,96,,96,96,95,96,96,,,,,,,,,,,,,,,,,,,,,,,,
CUB,Cuba,RCV1,99,99,99,99,99,99,99,99,,,98,99,,,,,,,,,,,,,,,,,,,,,,,,
CYP,Cyprus,RCV1,90,86,86,86,87,87,87,87,87,87,86,86,,,,,,,,,,,,,,,,,,,,,,,,
CZE,Czech Republic (the),RCV1,99,99,99,98,98,98,,,,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
PRK,Democratic People's Republic of Korea (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD,Democratic Republic of the Congo (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DNK,Denmark,RCV1,91,90,86,90,87,85,84,,89,99,95,96,,,,,,,,,,,,,,,,,,,,,,,,
DJI,Djibouti,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMA,Dominica,RCV1,96,94,93,99,99,99,99,99,,,98,,,,,,,,,,,,,,,,,,,,,,,,,
DOM,Dominican Republic (the),RCV1,90,87,83,88,88,87,90,95,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
ECU,Ecuador,RCV1,84,70,97,99,94,99,99,98,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
EGY,Egypt,RCV1,92,93,96,,96,,,,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,,
SLV,El Salvador,RCV1,95,94,94,93,89,91,95,95,,,99,93,,,,,,,,,,,,,,,,,,,,,,,,
GNQ,Equatorial Guinea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERI,Eritrea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EST,Estonia,RCV1,93,93,94,94,94,95,95,,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,
ETH,Ethiopia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJI,Fiji,RCV1,95,91,96,90,82,73,72,94,81,99,70,62,,,,,,,,,,,,,,,,,,,,,,,,
FIN,Finland,RCV1,95,,97,97,97,,99,97,98,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
FRA,France,RCV1,,90,89,90,89,89,,89,90,89,87,88,,,,,,,,,,,,,,,,,,,,,,,,
GAB,Gabon,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMB,Gambia (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEO,Georgia,RCV1,96,92,97,93,94,94,83,97,97,95,92,31,,,,,,,,,,,,,,,,,,,,,,,,
DEU,Germany,RCV1,97,96,96,96,96,96,94,95,94,93,92,90,,,,,,,,,,,,,,,,,,,,,,,,
GHA,Ghana,RCV1,89,92,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRC,Greece,RCV1,97,97,99,,98,,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRD,Grenada,RCV1,99,94,98,94,99,97,99,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
GTM,Guatemala,RCV1,99,67,93,93,89,93,92,96,,,93,95,,,,,,,,,,,,,,,,,,,,,,,,
GIN,Guinea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB,Guinea-Bissau,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUY,Guyana,RCV1,95,99,99,99,98,95,97,95,,,92,,,,,,,,,,,,,,,,,,,,,,,,,
HTI,Haiti,RCV1,64,64,80,66,58,45,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HND,Honduras,RCV1,98,88,89,93,99,99,99,95,,,92,92,,,,,,,,,,,,,,,,,,,,,,,,
HUN,Hungary,RCV1,99,99,99,99,99,99,99,99,,,,99,,,,,,,,,,,,,,,,,,,,,,,,
ISL,Iceland,RCV1,93,90,91,90,94,,92,96,95,95,90,93,,,,1,,,,,,,,,,,,,,,,,,,,
IND,India,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDN,Indonesia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Iran (Islamic Republic of),RCV1,99,99,98,98,99,99,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,
IRQ,Iraq,RCV1,76,76,71,82,91,,,,80,68,74,65,,,,,,,,,,,,,,,,,,,,,,,,
IRL,Ireland,RCV1,93,93,92,92,92,90,90,89,87,86,84,81,,,,,,,,,,,,,,,,,,,,,,,,
ISR,Israel,RCV1,,,98,96,97,96,97,98,97,96,94,97,,,,,,,,,,,,,,,,,,,,,,,,
ITA,Italy,RCV1,85,87,90,90,90,91,90,90,90,88,83,85,82,80,76,74,,,,,,,,,,,,,,,,,,,,
JAM,Jamaica,RCV1,91,92,94,93,88,89,88,87,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,Japan,RCV1,96,98,95,96,94,94,94,99,98,,,99,,,,,,,,,,,,,,,,,,,,,,,,
JOR,Jordan,RCV1,96,97,98,97,90,90,90,90,97,,92,98,,,,,,,,,,,,,,,,,,,,,,,,
KAZ,Kazakhstan,RCV1,99,99,99,,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,
KEN,Kenya,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIR,Kiribati,RCV1,84,,91,91,90,,,72,93,95,,,,,,,,,,,,,,,,,,,,,,,,,,
KWT,Kuwait,RCV1,93,94,99,99,99,98,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,,
KGZ,Kyrgyzstan,RCV1,99,96,99,,97,,99,,99,97,99,99,,,,,,,,,,,,,,,,,,,,,,,,
LAO,Lao People's Democratic Republic (the),RCV1,88,87,82,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LVA,Latvia,RCV1,96,96,96,90,99,93,96,97,97,95,95,99,,,,,,,,,,,,,,,,,,,,,,,,
LBN,Lebanon,RCV1,91,98,99,98,98,95,93,89,55,49,54,53,,,,,,,,,,,,,,,,,,,,,,,,
LSO,Lesotho,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBR,Liberia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBY,Libya,RCV1,,98,,98,,,98,98,98,98,95,95,,,,,,,,,,,,,,,,,,,,,,,,
LTU,Lithuania,RCV1,94,93,93,93,94,96,96,,97,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,
LUX,Luxembourg,RCV1,99,99,99,99,96,96,96,96,96,95,95,95,95,,,,,,,,,,,,,,,,,,,,,,,
MDG,Madagascar,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,Malawi,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,Malaysia,RCV1,93,94,95,95,95,95,,,,90,90,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,Maldives,RCV1,99,97,99,99,96,97,96,,56,85,82,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,Mali,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,Malta,RCV1,89,98,,,84,73,82,78,79,94,86,,,,,93,,,,,,,,,,,,,,,,,,,,
MHL,Marshall Islands (the),RCV1,75,79,70,78,,97,78,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,
MRT,Mauritania,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,Mauritius,RCV1,99,98,99,99,99,99,99,98,98,99,98,98,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,RCV1,99,98,89,99,98,95,96,95,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
FSM,Micronesia (Federated States of),RCV1,74,94,91,91,92,80,86,,92,71,96,85,,,,,,,,,,,,,,,,,,,,,,,,
MCO,Monaco,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNG,Mongolia,RCV1,98,98,97,99,98,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,Montenegro,RCV1,64,76,88,90,91,90,86,89,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,
MAR,Morocco,RCV1,99,,,,3,3,,,92,92,92,91,,,,,,,,,,,,,,,,,,,,,,,,
MOZ,Mozambique,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MMR,Myanmar,RCV1,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAM,Namibia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NRU,Nauru,RCV1,98,65,,96,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NPL,Nepal,RCV1,85,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NLD,Netherlands (the),RCV1,95,96,96,96,96,96,96,96,96,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,
NZL,New Zealand,RCV1,93,93,92,,93,,,,68,,82,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,Nicaragua,RCV1,99,99,99,99,99,99,99,99,,,96,,,,,,,,,,,,,,,,,,,,,,,,,
NER,Niger (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,Nigeria,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIU,Niue,RCV1,99,,99,99,99,99,,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,
NOR,Norway,RCV1,95,94,93,94,93,93,92,93,92,91,90,88,,,,,,,,,,,,,,,,,,,,,,,,
OMN,Oman,RCV1,99,99,99,99,99,99,99,99,97,97,97,98,,,,,,,,,,,,,,,,,,,,,,,,
PAK,Pakistan,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLW,Palau,RCV1,95,83,99,91,85,,75,97,91,98,98,99,,,,,,,,,,,,,,,,,,,,,,,,
PAN,Panama,RCV1,99,90,92,98,97,99,85,85,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
PNG,Papua New Guinea,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRY,Paraguay,RCV1,66,73,75,74,77,77,71,77,,,90,89,,,,,,,,,,,,,,,,,,,,,,,,
PER,Peru,RCV1,92,45,85,94,96,94,91,90,,,80,,,,,,,,,,,,,,,,,,,,,,,,,
PHL,Philippines (the),RCV1,67,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,Poland,RCV1,,,98,98,,98,98,,98,98,91,49,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,RCV1,98,98,98,97,97,96,95,97,95,97,,95,,,,,,,,,,,,,,,,,,,,,,,,
QAT,Qatar,RCV1,99,99,99,97,,99,99,,92,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,
KOR,Republic of Korea (the),RCV1,98,99,99,99,99,98,93,92,,99,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,Republic of Moldova (the),RCV1,89,90,91,91,91,97,91,95,96,96,97,96,,,,,,,,,,,,,,,,,,,,,,,,
ROU,Romania,RCV1,86,,92,94,,95,,96,61,95,95,91,,,,,,,,,,,,,,,,,,,,,,,,
RUS,Russian Federation (the),RCV1,98,98,98,98,98,98,98,98,98,98,95,92,,,,,,,,,,,,,,,,,,,,,,,,
RWA,Rwanda,RCV1,99,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNA,Saint Kitts and Nevis,RCV1,95,93,99,95,99,99,99,99,,,99,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,Saint Lucia,RCV1,97,99,99,99,91,95,99,99,,,94,,,,,,,,,,,,,,,,,,,,,,,,,
VCT,Saint Vincent and the Grenadines,RCV1,99,99,99,94,99,99,99,99,,,97,,,,,,,,,,,,,,,,,,,,,,,,,
WSM,Samoa,RCV1,78,91,99,85,67,61,49,45,63,54,57,25,,,,,,,,,,,,,,,,,,,,,,,,
SMR,San Marino,RCV1,53,57,74,87,83,68,,83,92,94,94,98,,,,,,,,,,,,,,,,,,,,,,,,
STP,Sao Tome and Principe,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,Saudi Arabia,RCV1,98,98,98,98,98,98,98,,96,95,97,97,,,,,,,,,,,,,,,,,,,,,,,,
SEN,Senegal,RCV1,80,80,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRB,Serbia,RCV1,87,86,93,,,,,,,,96,96,,,,,,,,,,,,,,,,,,,,,,,,
SYC,Seychelles,RCV1,98,99,97,98,99,99,97,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,
SLE,Sierra Leone,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,Singapore,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,Slovakia,RCV1,95,97,98,99,98,99,99,99,99,98,98,98,,,,,,,,,,,,,,,,,,,,,,,,
SVN,Slovenia,RCV1,94,94,94,95,96,95,95,96,96,96,,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,Solomon Islands,RCV1,75,76,76,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,Somalia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,South Africa,RCV1,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSD,South Sudan,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,Spain,RCV1,96,96,95,,97,95,98,,,,,97,,,,,,,,,,,,,,,,,,,,,,,,
LKA,Sri Lanka,RCV1,99,99,99,,99,99,97,97,97,98,99,95,,,,,,,,,,,,,,,,,,,,,,,,
SDN,Sudan (the),RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUR,Suriname,RCV1,94,85,93,73,85,99,88,86,,,91,,,,,,,,,,,,,,,,,,,,,,,,,
SWZ,Swaziland,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,Sweden,RCV1,98,97,97,97,96,97,97,96,96,95,95,95,,,,,,,,,,,,,,,,,,,,,,,,
CHE,Switzerland,RCV1,94,93,,91,91,90,86,86,85,85,81,81,,,,,,,,,,,,,,,,,,,,,,,,
SYR,Syrian Arab Republic (the),RCV1,70,71,83,78,97,,,,,,98,98,,,,,,,,,,,,,,,,,,,,,,,,
TJK,Tajikistan,RCV1,97,98,92,,,94,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THA,Thailand,RCV1,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKD,The former Yugoslav Republic of Macedonia,RCV1,89,93,96,96,,98,96,98,96,94,96,96,,,,,,,,,,,,,,,,,,,,,,,,
TLS,Timor-Leste,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGO,Togo,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TON,Tonga,RCV1,99,99,99,95,99,99,99,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,
TTO,Trinidad and Tobago,RCV1,,96,91,86,92,92,94,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUN,Tunisia,RCV1,98,98,94,96,92,97,93,90,90,94,99,,,,,,,,,,,,,,,,,,,,,,,,,
TUR,Turkey,RCV1,97,94,98,96,98,97,97,97,96,98,,,,,,,,,,,,,,,,,,,,,,,,,,
TKM,Turkmenistan,RCV1,99,99,99,99,99,99,99,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
TUV,Tuvalu,RCV1,94,94,96,98,98,85,90,93,95,84,96,,,,,,,,,,,,,,,,,,,,,,,,,
UGA,Uganda,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKR,Ukraine,RCV1,56,,,79,,56,,93,97,98,96,92,,,,,,,,,,,,,,,,,,,,,,,,
ARE,United Arab Emirates (the),RCV1,,99,,,,,,,,,93,92,,,,,,,,,,,,,,,,,,,,,,,,
GBR,United Kingdom of Great Britain and Northern Ireland (the),RCV1,93,93,95,92,90,93,86,86,86,85,82,81,,,,,,,,,,,,,,,,,,,,,,,,
TZA,United Republic of Tanzania,RCV1,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,United States of America (the),RCV1,92,,91,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
URY,Uruguay,RCV1,95,96,96,96,95,95,95,95,,,95,95,,,,,,,,,,,,,,,,,,,,,,,,
UZB,Uzbekistan,RCV1,99,99,97,99,99,,95,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,
VUT,Vanuatu,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),RCV1,92,89,85,87,86,79,87,82,,,76,78,,,,,,,,,,,,,,,,,,,,,,,,
VNM,Viet Nam,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YEM,Yemen,RCV1,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZMB,Zambia,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZWE,Zimbabwe,RCV1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,Mexico,MCV1,99,98,89,99,98,95,96,96,96,96,96,96,96,96,95,96,95,96,90,93,90,90,79,88,90,75,85,70,54,60,64,21,23,37,33,35
