name,code,region,sub-region,population,gdp,unmet-needs
Togo,TGO,Africa,Western Africa,7606374,1382.10974737,
Tonga,TON,Oceania,Polynesia,107122,5332.47244457,25.2
Trinidad y Tobago,TTO,Americas,Caribbean,1364962,29578.9563878,
Túnez,TUN,Africa,Northern Africa,11403248,10752.0168251,
Turquía,TUR,Asia,Western Asia,79512426,23679.3963898,5.9
Turkmenistán,TKM,Asia,Central Asia,5662544,15648.373119,12.1
Tuvalu,TUV,Oceania,Polynesia,11097,3385.43422156,24.2
Uganda,UGA,Africa,Eastern Africa,41487965,1713.85119177,29.9
Ucrania,UKR,Europe,Eastern Europe,45004645,7668.05577615,
Reino Unido,GBR,Europe,Northern Europe,65637239,38901.0467585,
Estados Unidos,USA,Americas,Northern America,323127513,53272.5157099,
Vanuatu,VUT,Oceania,Melanesia,270402,2856.47531029,24.2
Venezuela,VEN,Americas,South America,31568179,,
Vietnam,VNM,Asia,South-Eastern Asia,92701100,5955.26188759,
Yemen,YEM,Asia,Western Asia,27584213,2325.06995998,23.6
Zambia,ZMB,Africa,Eastern Africa,16591390,3636.05971131,21.1
Zimbabue,ZWE,Africa,Eastern Africa,16150362,1859.93744141,10.4
