"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1464,1167,3,165,264,473,540,"v3a08g",144,"UGIR60DT"
"2",2,2206,1499,3,367,617,699,800,"v3a08p",240,"UGIR60DT"
"3",3,1682,1137,3,179,450,530,739,"v3a08p",198,"UGIR60DT"
