"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,5739,1977,1,1523,3238,494,927,"v3a08d",287,"BDIR72DT"
"2",2,11091,4381,1,2981,5896,1326,2285,"v3a08d",652,"BDIR72DT"
