"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1755,1589,3,86,147,435,857,"v3a08b",223,"UGIR60DT"
"2",2,1433,1173,3,136,240,408,682,"v3a08b",164,"UGIR60DT"
"3",3,1404,1081,3,146,280,311,636,"v3a08b",178,"UGIR60DT"
"4",4,1542,1143,3,194,359,313,702,"v3a08b",234,"UGIR60DT"
"5",5,2540,1704,3,316,704,319,949,"v3a08b",413,"UGIR60DT"
