"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,3608,3275,5,136,274,534,745,"v3a08g",503,"GNIR62DT"
"2",2,2768,2489,5,66,233,613,997,"v3a08g",630,"GNIR62DT"
"3",3,2766,2607,3,43,128,634,1294,"v3a08g",308,"GNIR62DT"
