"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,408,235,9,46,112,65,95,"v3a08p",15,"JOIR6CDT"
"2",1,981,496,2,148,351,113,142,"v3a08b",24,"JOIR6CDT"
"3",2,6409,2559,2,1285,2678,595,714,"v3a08o",110,"JOIR6CDT"
"4",3,3554,1448,2,629,1319,245,324,"v3a08f",61,"JOIR6CDT"
