"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",0,172686,"v3a08d",9653,83161,6,67179,79831,20848,46310,"IAIR71DT"
"2",1,72881,"v3a08b",2982,33486,6,27134,35171,9411,17099,"IAIR71DT"
"3",2,209380,"v3a08b",9109,106054,6,56569,89268,33116,50811,"IAIR71DT"
"4",3,44680,"v3a08b",2370,24323,5,6888,17027,8107,10976,"IAIR71DT"
