"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,1998,1549,3,173,413,484,637,"v3a08p",202,"TZIR7HDT"
"2",1,7640,5198,3,856,2137,1284,1744,"v3a08p",513,"TZIR7HDT"
"3",2,3487,2585,3,206,650,344,531,"v3a08p",179,"TZIR7HDT"
"4",3,141,78,8,22,35,7,16,"v3a08b",6,"TZIR7HDT"
