"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,6335,4937,8,418,883,615,3956,"v3a08a",2664,"BOIR51DT"
"2",2,5075,2219,8,885,1791,839,1441,"v3a08a",538,"BOIR51DT"
"3",3,5529,2683,8,970,1677,757,1816,"v3a08d",496,"BOIR51DT"
