"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,10367,7180,3,1923,3152,1110,1467,"v3a08a",423,"MWIR7HDT"
"2",2,7624,3193,3,2384,4362,1133,1196,"v3a08p",183,"MWIR7HDT"
"3",3,6571,2995,6,1548,3474,1032,1376,"v3a08e",207,"MWIR7HDT"
