"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1499,763,1,403,727,170,440,"v3a08b",236,"ZWIR71DT"
"2",2,1452,727,1,393,711,130,402,"v3a08b",218,"ZWIR71DT"
"3",3,1549,815,1,378,725,111,482,"v3a08b",276,"ZWIR71DT"
"4",4,2558,1224,1,731,1320,183,662,"v3a08b",385,"ZWIR71DT"
"5",5,2897,1557,1,683,1321,151,910,"v3a08b",550,"ZWIR71DT"
