"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1440,571,1,565,861,140,146,"v3a08b",42,"ZWIR71DT"
"2",2,2524,734,1,1082,1771,196,220,"v3a08c",47,"ZWIR71DT"
"3",3,2051,660,1,758,1359,322,361,"v3a08d",96,"ZWIR71DT"
