"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",1,964,"v3a08f",182,805,3,82,131,312,468,"BUIR61DT"
"2",2,1012,"v3a08f",191,844,3,88,133,375,495,"BUIR61DT"
"3",3,986,"v3a08f",155,776,3,104,164,306,459,"BUIR61DT"
"4",4,980,"v3a08f",158,771,3,91,166,305,428,"BUIR61DT"
"5",5,1319,"v3a08f",131,860,3,194,376,345,456,"BUIR61DT"
