"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,2281,1865,3,191,397,570,1019,"v3a08p",234,"GHIR72DT"
"2",1,1747,1360,3,147,350,383,600,"v3a08p",194,"GHIR72DT"
"3",2,4854,3717,3,281,897,840,1649,"v3a08p",501,"GHIR72DT"
"4",3,514,372,8,34,91,57,135,"v3a08b",41,"GHIR72DT"
