"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",0,2857,"v3a08p",352,2460,3,160,366,998,1400,"TGIR61DT"
"2",1,2133,"v3a08p",235,1639,3,179,428,710,883,"TGIR61DT"
"3",2,1288,"v3a08p",120,948,3,103,278,423,476,"TGIR61DT"
"4",3,82,"v3a08p",4,55,5,12,24,16,15,"TGIR61DT"
