"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",0,2673,"v3a08f",434,2214,3,234,374,913,1316,"BUIR61DT"
"2",1,2047,"v3a08f",331,1529,3,227,406,620,833,"BUIR61DT"
"3",2,453,"v3a08f",48,260,3,91,162,95,135,"BUIR61DT"
"4",3,88,"v3a08h",5,53,2,7,28,15,22,"BUIR61DT"
"5",3,88,"v3a08h",5,53,3,7,28,15,22,"BUIR61DT"
