"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,4437,4177,3,133,236,1132,2068,"v3a08g",810,"GMIR60DT"
"2",1,931,847,3,40,73,262,405,"v3a08g",182,"GMIR60DT"
"3",2,1341,1153,3,75,177,338,548,"v3a08g",220,"GMIR60DT"
"4",3,196,159,3,12,32,40,61,"v3a08g",18,"GMIR60DT"
