"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1493,706,1,590,716,128,143,"v3a08b",66,"MAIR43DT"
"2",2,2977,998,1,1389,1812,256,277,"v3a08b",98,"MAIR43DT"
"3",3,4381,1594,1,1546,2296,554,718,"v3a08b",151,"MAIR43DT"
