"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,2012,1555,3,249,436,654,807,"v3a08g",239,"LBIR6ADT"
"2",2,3863,3188,3,384,659,1357,1809,"v3a08g",625,"LBIR6ADT"
