"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",1,2022,"v3a08p",219,1574,3,115,378,678,789,"TGIR61DT"
"2",2,4338,"v3a08g",523,3528,3,330,718,1469,1985,"TGIR61DT"
