"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",1,1772,"v3a08g",252,1479,11,125,268,610,907,"TGIR61DT"
"2",2,1243,"v3a08p",160,994,3,92,219,416,545,"TGIR61DT"
"3",2,1243,"v3a08p",160,994,11,92,219,416,545,"TGIR61DT"
"4",3,1166,"v3a08p",141,940,3,108,199,399,494,"TGIR61DT"
"5",4,1053,"v3a08p",134,839,3,65,181,371,438,"TGIR61DT"
"6",5,1126,"v3a08p",98,850,5,60,229,351,390,"TGIR61DT"
