"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1512,863,5,242,318,375,391,"v3a08g",160,"CGIR60DT"
"2",2,2676,1422,8,520,489,526,599,"v3a08g",212,"CGIR60DT"
"3",3,2562,1561,8,514,281,420,498,"v3a08f",92,"CGIR60DT"
