"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",1,952,"v3a08f",90,604,3,147,287,229,295,"BUIR61DT"
"2",2,4309,"v3a08f",727,3452,3,412,683,1414,2011,"BUIR61DT"
