"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1570,1225,3,179,331,451,723,"v3a08p",162,"GHIR72DT"
"2",2,1054,763,3,103,267,355,421,"v3a08p",157,"GHIR72DT"
"3",3,1008,732,3,94,250,316,390,"v3a08p",155,"GHIR72DT"
"4",4,925,659,3,84,213,250,304,"v3a08p",131,"GHIR72DT"
"5",5,899,661,8,51,171,223,275,"v3a08p",117,"GHIR72DT"
