"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,3679,3116,3,327,554,1035,1749,"v3a08g",479,"LBIR6ADT"
"2",1,3195,2608,3,342,569,919,1436,"v3a08g",417,"LBIR6ADT"
"3",2,2164,1503,3,389,630,571,802,"v3a08g",211,"LBIR6ADT"
"4",3,201,140,3,26,53,46,52,"v3a08p",15,"LBIR6ADT"
