"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,10597,8478,3,957,1677,778,6723,"v3a08b",4712,"GUIR71DT"
"2",2,7578,3753,6,1112,3095,736,2434,"v3a08b",1341,"GUIR71DT"
"3",3,7739,3605,6,2314,3396,538,2254,"v3a08b",999,"GUIR71DT"
