"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,2779,1460,3,575,1293,482,647,"v3a08d",78,"MWIR7HDT"
"2",1,15028,7880,3,3667,7030,2066,2377,"v3a08a",341,"MWIR7HDT"
"3",2,6061,3605,3,1113,2407,655,908,"v3a08a",222,"MWIR7HDT"
"4",3,694,423,3,70,258,72,107,"v3a08a",26,"MWIR7HDT"
