"","id","n","most_popular_reason","most_popular_reason_n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","source"
"1",1,1226,"v3a08f",217,969,3,135,203,333,460,"BUIR61DT"
"2",2,2123,"v3a08f",381,1580,3,264,455,671,878,"BUIR61DT"
"3",3,1912,"v3a08f",219,1507,3,160,312,639,968,"BUIR61DT"
