"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,5371,5129,13,65,194,1257,2350,"v3a08g",1123,"GNIR62DT"
"2",1,750,683,3,19,57,197,270,"v3a08g",168,"GNIR62DT"
"3",2,541,478,1,15,50,160,211,"v3a08g",112,"GNIR62DT"
"4",3,117,104,1,4,12,20,26,"v3a08g",13,"GNIR62DT"
