"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,1617,1465,1,54,101,454,680,"v3a08g",192,"CIIR62DT"
"2",2,1454,1247,1,84,149,434,586,"v3a08g",142,"CIIR62DT"
"3",3,1223,1022,1,79,137,364,458,"v3a08g",112,"CIIR62DT"
"4",4,1196,949,1,113,180,336,428,"v3a08p",90,"CIIR62DT"
"5",5,963,673,1,104,199,185,264,"v3a08p",55,"CIIR62DT"
