"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,10076,8866,8,424,435,3076,4305,"v3a08n",712,"BJIR51DT"
"2",1,2312,1753,8,250,198,744,880,"v3a08p",162,"BJIR51DT"
"3",2,1022,633,8,199,150,261,296,"v3a08p",66,"BJIR51DT"
"4",3,76,48,8,10,16,18,23,"v3a08g",5,"BJIR51DT"
