"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,5252,4696,3,332,522,210,1764,"v3a08a",1171,"RWIR70DT"
"2",2,4474,2487,3,986,1858,598,1147,"v3a08f",455,"RWIR70DT"
"3",3,3771,2184,3,554,1333,546,1543,"v3a08b",456,"RWIR70DT"
