"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,5074,2215,1,1522,2647,663,760,"v3a08f",213,"BDIR72DT"
"2",2,6107,1821,1,1933,3903,630,824,"v3a08c",220,"BDIR72DT"
"3",3,5649,2322,1,1049,2584,527,1628,"v3a08d",845,"BDIR72DT"
