"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,558,372,13,59,147,158,178,"v3a08g",33,"ZMIR51DT"
"2",1,2596,1633,1,240,753,781,797,"v3a08g",202,"ZMIR51DT"
"3",2,986,487,1,174,440,216,205,"v3a08g",57,"ZMIR51DT"
"4",3,176,74,1,36,89,20,19,"v3a08b",5,"ZMIR51DT"
