"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,3894,3562,3,219,329,600,966,"v3a08g",198,"ETIR70DT"
"2",2,2046,1610,3,280,434,352,591,"v3a08g",123,"ETIR70DT"
"3",3,2002,1502,3,334,495,291,468,"v3a08h",97,"ETIR70DT"
"4",4,2042,1498,3,370,539,254,413,"v3a08h",103,"ETIR70DT"
"5",5,5699,4199,3,683,1420,375,552,"v3a08h",100,"ETIR70DT"
