"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,3908,3786,3,44,102,908,1478,"v3a08g",935,"TDIR71DT"
"2",2,5267,5003,3,102,235,1253,2048,"v3a08g",1171,"TDIR71DT"
"3",3,4264,4090,3,72,159,886,1422,"v3a08g",403,"TDIR71DT"
