"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",0,5744,5034,1,265,505,1410,2038,"v3a08g",451,"CIIR62DT"
"2",1,2347,1790,1,196,413,539,715,"v3a08g",149,"CIIR62DT"
"3",2,1740,1192,5,211,387,248,404,"v3a08b",115,"CIIR62DT"
"4",3,229,154,5,35,56,31,39,"v3a08p",11,"CIIR62DT"
