"","id","n","not_using_contraception","most_popular_method","most_popular_method_n","using_modern_method","with_unmet_needs","n_reasons","most_popular_reason","most_popular_reason_n","source"
"1",1,5399,4388,3,351,851,586,909,"v3a08g",208,"TZIR7HDT"
"2",2,3856,2389,3,537,1233,703,920,"v3a08p",302,"TZIR7HDT"
"3",3,4011,2633,3,349,1151,830,1099,"v3a08p",387,"TZIR7HDT"
